Final_Demand_Sector,Final_Demand_Sector_Category
Industry not elsewhere specified,
Residential,Residential
Road,Road transportation
Final consumption not elsewhere specified,
Construction,Construction
Agriculture/forestry,Agriculture and forestry
Commercial and public services,Commercial and public services
Transport not elsewhere specified,
Domestic aviation,Aviation
Domestic navigation,Navigation
Iron and steel,Iron and steel
Chemical and petrochemical,Chemical and petrochemical
Mining and quarrying,Mining and quarrying
Non-metallic minerals,Other minerals and metals
Food and tobacco,Food and tobacco
Non-ferrous metals,Other minerals and metals
"Paper, pulp and printing","Wood, paper, pulp, printing"
Textile and leather,Textile and leather
Fishing,Fishing
Rail,Rail transportation
Wood and wood products,"Wood, paper, pulp, printing"
Pipeline transport,
Transport equipment,Machinery and transport equipment
Machinery,Machinery and transport equipment
International aviation,Aviation
International navigation,Navigation
World aviation bunkers,Aviation
World marine bunkers,Navigation
