Energy vector,PES,Harmonization,Original EROI,Ref,DOI
Electricity,Wind,Harmonised,16.7647058823529,"Feng et al., 2018",https://doi.org/10.1016/j.energy.2017.11.0610360-5442/
Electricity,Wind,Harmonised,26.4705882352941,"Raugei et al., 2020",https://doi.org/10.3390/en13153934
Electricity,Wind,Harmonised,13.2352941176471,"Walmsley et al., 2017",http://dx.doi.org/10.1016/j.jclepro.2017.08.040
Electricity,Wind,Harmonised,27.7941176470588,"Walmsley et al., 2018",http://dx.doi.org/10.1016/j.jclepro.2017.08.040
Electricity,Wind,Harmonised,27.3529411764706,"Huang et al., 2017",http://dx.doi.org/10.1016/j.renene.2016.10.050
Electricity,Wind,Harmonised,24.7058823529412,"Huang et al., 2017",http://dx.doi.org/10.1016/j.renene.2016.10.050
Electricity,PV,Harmonised,7.94117647058823,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,8.82352941176471,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,14.5588235294118,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,12.3529411764706,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,8.82352941176471,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,7.94117647058823,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,11.0294117647059,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,17.6470588235294,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,14.5588235294118,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,10.1470588235294,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,7.94117647058823,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,10.1470588235294,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,16.3235294117647,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,13.2352941176471,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,10.1470588235294,"Liu et al., 2020",https://doi.org/10.1016/j.enpol.2019.111234
Electricity,PV,Harmonised,18.9705882352941,"Raugei et al., 2020",https://doi.org/10.3390/en13153934
Electricity,PV,Harmonised,22.0588235294118,"Raugei et al., 2020",https://doi.org/10.3390/en13153934
Electricity,PV,Harmonised,17.6470588235294,"Celik et al., 2018",https://doi.org/10.1109/JPHOTOV.2017.2768961
Electricity,PV,Harmonised,17.2058823529412,"Celik et al., 2018",https://doi.org/10.1109/JPHOTOV.2017.2768961
Electricity,PV,Harmonised,30.8823529411765,"Celik et al., 2018",https://doi.org/10.1109/JPHOTOV.2017.2768961
Electricity,PV,Harmonised,34.8529411764706,"Celik et al., 2018",https://doi.org/10.1109/JPHOTOV.2017.2768961
Electricity,PV,Harmonised,17.6470588235294,"Leccisi and Fthenakis, 2021",https://doi.org/10.1002/pip.3441
Electricity,PV,Harmonised,14.5588235294118,"Leccisi and Fthenakis, 2022",https://doi.org/10.1002/pip.3441
Electricity,PV,Harmonised,5.49267891085982,de Castro and Capellan-Perez 2020,https://doi.org/10.3390/en13123036
Electricity,Wind,Harmonised,10.0527377055062,de Castro and Capellan-Perez 2020,https://doi.org/10.3390/en13123036
Electricity,Wind,Harmonised,6.1568608926155,de Castro and Capellan-Perez 2020,https://doi.org/10.3390/en13123036
