Substitution_machine,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Electric pumps -> HPL,0.2,0.2049,0.2099,0.2148,0.2198,0.2247,0.2296,0.2346,0.2395,0.2445,0.2494,0.2544,0.2593,0.2642,0.2692,0.2741,0.2791,0.284,0.2912,0.2983,0.3055,0.3127,0.3199,0.327,0.3342,0.3465,0.3588,0.3711,0.3834,0.3957,0.408,0.4203,0.4326,0.4449,0.4572,0.4695,0.4818,0.4941,0.5064,0.5187,0.531,0.5433,0.5556,0.5679,0.5802,0.5925,0.6048,0.6171,0.6294,0.6417,0.654,0.6663,0.6786,0.6909,0.7032,0.7155,0.7278,0.7401,0.7524,0.7647,0.777
Electric space heaters -> LTH.20.C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Domestic electric ovens -> MTH.200.C,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713
Computers -> IP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Electric cars -> RoP,0.5348,0.5401,0.5453,0.5504,0.5555,0.5605,0.5654,0.5702,0.575,0.5797,0.5843,0.5889,0.5934,0.5979,0.6022,0.6065,0.6108,0.615,0.6191,0.6232,0.6272,0.6311,0.635,0.6388,0.6426,0.6463,0.65,0.6536,0.6572,0.6607,0.6642,0.6676,0.6709,0.6743,0.6775,0.6807,0.6839,0.687,0.6901,0.6932,0.6961,0.6991,0.702,0.7049,0.7077,0.7105,0.7132,0.7159,0.7186,0.7212,0.7238,0.7263,0.7289,0.7313,0.7338,0.7362,0.7386,0.7409,0.7432,0.7455,0.7477
Domestic appliances -> MD,0.75,0.752,0.754,0.756,0.758,0.76,0.762,0.764,0.766,0.768,0.77,0.772,0.774,0.776,0.778,0.78,0.782,0.784,0.786,0.788,0.79,0.792,0.794,0.796,0.798,0.8,0.802,0.804,0.806,0.808,0.81,0.812,0.814,0.816,0.818,0.82,0.822,0.824,0.826,0.828,0.83,0.832,0.834,0.836,0.838,0.84,0.842,0.844,0.846,0.848,0.85,0.852,0.854,0.856,0.858,0.86,0.862,0.864,0.866,0.868,0.87
Domestic electric lamps -> L,0.0291,0.0296,0.0302,0.0308,0.0313,0.0319,0.0324,0.033,0.0336,0.0341,0.0346,0.0352,0.0358,0.0364,0.037,0.0375,0.0381,0.0386,0.0392,0.0397,0.0402,0.0408,0.0413,0.0418,0.0423,0.0428,0.0432,0.0437,0.0441,0.0445,0.0449,0.0453,0.0456,0.046,0.0463,0.0467,0.047,0.0474,0.0481,0.0486,0.0491,0.0495,0.0499,0.0503,0.0505,0.0507,0.0509,0.051,0.0528,0.0566,0.0609,0.066,0.0702,0.072,0.0724,0.0721,0.0717,0.079,0.0816,0.0842,0.0868
Electro-chemical processors -> HTH.960.C,0.3,0.3023,0.3047,0.307,0.3094,0.3118,0.3142,0.3166,0.3191,0.3215,0.324,0.3265,0.3291,0.3316,0.3342,0.3368,0.3394,0.342,0.3446,0.3473,0.35,0.3523,0.3547,0.3571,0.3595,0.3619,0.3643,0.3667,0.3692,0.3717,0.3742,0.3767,0.3792,0.3817,0.3843,0.3869,0.3895,0.3921,0.3947,0.3973,0.4,0.402,0.4045,0.407,0.4095,0.412,0.4145,0.417,0.4195,0.422,0.4245,0.427,0.4295,0.432,0.4345,0.437,0.4395,0.442,0.4445,0.447,0.4495
Electric water heaters -> MTH.100.C,0.7811,0.7828,0.7846,0.7863,0.788,0.7897,0.7914,0.7931,0.7948,0.7965,0.7983,0.798,0.8013,0.8047,0.8058,0.8069,0.8069,0.8125,0.8125,0.8136,0.8169,0.8175,0.818,0.8188,0.8222,0.824,0.8257,0.8274,0.8291,0.8308,0.8325,0.8342,0.8359,0.8377,0.8394,0.8411,0.8428,0.8445,0.8462,0.8479,0.8496,0.8514,0.8531,0.8548,0.8565,0.8582,0.8599,0.8616,0.8634,0.8651,0.8668,0.8685,0.8702,0.8719,0.8736,0.8753,0.8771,0.8788,0.8805,0.8822,0.8822
HVAC -> LTC.20.C,1.5342,1.5914,1.6487,1.7059,1.7631,1.8203,1.8776,1.9348,1.992,2.0492,2.1065,2.1029,2.0994,2.1579,2.1988,2.2398,2.2807,2.3275,2.3743,2.4152,2.4646,2.4786,2.5067,2.5593,2.626,2.7033,2.7384,2.8297,2.8894,2.9771,3.0649,3.0895,3.1176,3.1772,3.1491,3.1702,3.1878,3.1913,3.1878,3.1843,3.265,3.3809,3.423,3.423,3.4089,3.4932,3.5178,3.4441,3.4862,3.5283,3.574,3.6091,3.6091,3.6161,3.6758,3.8513,3.9496,3.9566,4.3148,4.673,5.0313
Industrial electric lamps -> L,0.15,0.1501,0.1503,0.1505,0.1506,0.1508,0.151,0.1512,0.1513,0.1515,0.1517,0.1518,0.152,0.1522,0.1523,0.1525,0.1527,0.1529,0.153,0.1532,0.1534,0.1535,0.1537,0.1539,0.154,0.1542,0.1544,0.1546,0.1547,0.1549,0.1551,0.1552,0.1554,0.1556,0.1558,0.1559,0.1561,0.1562,0.1559,0.1562,0.1572,0.1591,0.1624,0.1661,0.1701,0.1737,0.1782,0.1813,0.1851,0.1892,0.1933,0.1972,0.2007,0.2036,0.206,0.2077,0.2094,0.2152,0.2185,0.2218,0.2251
Industrial electric process heaters -> HTH.600.C,0.0963,0.097,0.0977,0.0985,0.0992,0.1,0.1,0.1,0.1,0.1,0.1,0.1008,0.1016,0.1024,0.1032,0.104,0.104,0.104,0.104,0.104,0.104,0.1048,0.1057,0.1066,0.1074,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1092,0.1102,0.1111,0.1121,0.113,0.113,0.113,0.113,0.113,0.113,0.114,0.115,0.1161,0.1171,0.1182,0.1193,0.1204,0.13,0.125,0.1313,0.1275,0.125,0.1275,0.1354,0.1354,0.1354,0.1354,0.1365,0.1376,0.1387
Industrial fans -> KE,0.5872,0.5878,0.5885,0.5892,0.5898,0.5905,0.5912,0.5918,0.5925,0.5932,0.5938,0.5945,0.5952,0.5958,0.5965,0.5972,0.5978,0.5985,0.5992,0.5998,0.6005,0.6006,0.6008,0.6009,0.601,0.6012,0.6013,0.6014,0.6016,0.6017,0.6019,0.6043,0.6068,0.6093,0.6117,0.6142,0.6167,0.6191,0.6216,0.6241,0.6265,0.6273,0.6281,0.6289,0.6297,0.6305,0.6313,0.6321,0.6329,0.6337,0.6345,0.6361,0.6377,0.6392,0.6408,0.6423,0.6439,0.6454,0.647,0.6486,0.6501
Industrial refrigerators -> LTC.-10.C,0.3345,0.3158,0.3021,0.2828,0.2601,0.2497,0.2382,0.2391,0.2358,0.239,0.2343,0.2337,0.2326,0.2201,0.22,0.2362,0.2544,0.2747,0.2976,0.3347,0.3524,0.3697,0.3753,0.391,0.4147,0.4053,0.4348,0.4537,0.4662,0.4756,0.5112,0.5217,0.6057,0.6889,0.692,0.6828,0.7019,0.7066,0.756,0.7356,0.8739,0.8761,0.9585,0.9818,0.971,0.9319,0.9896,0.9886,0.9932,1.0039,1.0784,1.087,1.1112,1.0895,1.0784,1.0209,1.0545,1.0574,1.0773,1.0682,1.0526
Machine tools -> MacW,0.08008,0.080171,0.080262,0.080353,0.080444,0.080535,0.080626,0.080717,0.080808,0.080899,0.08099,0.081081,0.081172,0.081263,0.081354,0.081445,0.081536,0.081627,0.081718,0.081809,0.0819,0.0819182,0.0819364,0.0819546,0.0819728,0.081991,0.0820092,0.0820274,0.0820456,0.0820638,0.082082,0.0824187,0.0827554,0.0830921,0.0834288,0.0837655,0.0841022,0.0844389,0.0847756,0.0851123,0.085449,0.0855582,0.0856674,0.0857766,0.0858858,0.085995,0.0861042,0.0862134,0.0863226,0.0864318,0.086541,0.086753333,0.086965667,0.087178,0.087390333,0.087602667,0.087815,0.088027333,0.088239667,0.088452,0.088664333
Material handlers -> MacW,0.8279,0.8288,0.8298,0.8307,0.8317,0.8326,0.8335,0.8345,0.8354,0.8364,0.8373,0.8383,0.8392,0.8401,0.8411,0.842,0.843,0.8439,0.8448,0.8458,0.8467,0.8469,0.8471,0.8473,0.8475,0.8477,0.8478,0.848,0.8482,0.8484,0.8486,0.8521,0.8556,0.859,0.8625,0.866,0.8695,0.873,0.8764,0.8799,0.8834,0.8845,0.8857,0.8868,0.8879,0.8891,0.8902,0.8913,0.8924,0.8936,0.8947,0.8969,0.8991,0.9013,0.9035,0.9057,0.9079,0.9101,0.9123,0.9145,0.9167
Non-energy consumption -> NEU,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Refrigerators -> LTC.-10.C,0.2352,0.2251,0.2106,0.1937,0.186,0.1775,0.1781,0.1756,0.178,0.1745,0.1741,0.1733,0.164,0.1639,0.176,0.1895,0.2046,0.2217,0.2493,0.2625,0.2754,0.2796,0.2913,0.3089,0.3019,0.3239,0.338,0.3472,0.3542,0.3808,0.3886,0.4512,0.5132,0.5155,0.5086,0.5229,0.5263,0.5631,0.5479,0.651,0.6526,0.714,0.7313,0.7233,0.6941,0.7371,0.7364,0.7398,0.7478,0.8032,0.8097,0.8277,0.8115,0.8033,0.7605,0.7854,0.7876,0.8025,0.7957,0.784,0.784
Room air conditioners -> LTC.20.C,1.2807,1.3285,1.3763,1.424,1.4718,1.5196,1.5673,1.6151,1.6629,1.7107,1.7584,1.7555,1.7526,1.8014,1.8355,1.8697,1.9039,1.943,1.982,2.0162,2.0574,2.0691,2.0925,2.1365,2.1922,2.2566,2.286,2.3622,2.412,2.4852,2.5585,2.579,2.6025,2.6523,2.6288,2.6464,2.6611,2.664,2.6611,2.6582,2.7256,2.8223,2.8574,2.8574,2.8457,2.9161,2.9366,2.875,2.9102,2.9454,2.9835,3.0128,3.0128,3.0186,3.0685,3.215,3.2971,3.3029,3.3049,3.3369,3.369
Steam cracking furnaces -> HTH.850.C,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522,0.6522
Commercial electric ovens -> MTH.200.C,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713
Electric hydraulic mobiles -> MacW,0.299,0.2993,0.2996,0.3,0.3003,0.3007,0.301,0.3013,0.3017,0.302,0.3024,0.3027,0.303,0.3034,0.3037,0.3041,0.3044,0.3047,0.3051,0.3054,0.3057,0.3058,0.3059,0.306,0.306,0.3061,0.3062,0.3062,0.3063,0.3064,0.3064,0.3077,0.3089,0.3102,0.3115,0.3127,0.314,0.3152,0.3165,0.3177,0.319,0.3194,0.3198,0.3202,0.3206,0.321,0.3214,0.3219,0.3223,0.3227,0.3231,0.3239,0.3247,0.3255,0.3262,0.327,0.3278,0.3286,0.3294,0.3302,0.331
Domestic aircraft -> AirP,0.169,0.1722,0.1754,0.1786,0.1817,0.1849,0.1881,0.1913,0.1945,0.1941,0.1838,0.1742,0.1738,0.1733,0.1727,0.1707,0.17,0.1736,0.172,0.172,0.1713,0.1704,0.1686,0.1711,0.1731,0.1745,0.1756,0.1886,0.1927,0.1942,0.1945,0.1957,0.1993,0.203,0.2032,0.2041,0.2052,0.2054,0.2054,0.2054,0.2055,0.2077,0.2099,0.2121,0.2143,0.2165,0.2187,0.2209,0.2231,0.2253,0.2276,0.2298,0.232,0.2342,0.2364,0.2386,0.2408,0.243,0.2452,0.2474,0.2496
Domestic boats -> MaP,0.2713,0.2731,0.275,0.2768,0.2787,0.2805,0.2823,0.2836,0.2854,0.2873,0.2891,0.2897,0.291,0.2922,0.2934,0.2946,0.2965,0.2977,0.2996,0.3014,0.3026,0.3039,0.3051,0.3063,0.3076,0.3088,0.31,0.3113,0.3119,0.3131,0.3143,0.3156,0.3162,0.3174,0.318,0.3186,0.3193,0.3193,0.3199,0.3199,0.3205,0.3211,0.3217,0.3223,0.3223,0.3229,0.3229,0.3229,0.3229,0.3229,0.3236,0.3242,0.3248,0.3254,0.3254,0.3254,0.3254,0.3254,0.3254,0.3254,0.3254
